X,Keywords (696),Avg. CPC,Local Searches,Global Searches,Advertiser Competition
 ,garden fairies,0.42,27100,49500,80
 ,better homes gardens,0.28,368000,550000,30
 ,fairy garden supplies,0.41,2900,3600,92
 ,guerilla gardening,2.14,2400,18100,4
 ,tropical plants,0.81,60500,110000,50
 ,garden flags,1.18,33100,40500,100
 ,garden fountains,1.29,33100,49500,100
 ,buy plants,0.82,60500,110000,81
 ,house plants,0.95,165000,301000,47
 ,garden bridges,0.95,8100,14800,100
 ,herb gardening,0.80,8100,12100,59
 ,victorian gardens,0.72,49500,90500,6
 ,logo garden,0.51,6600,14800,19
 ,greenhouse gardening,0.82,2900,5400,86
 ,landscape gardener,1.63,6600,49500,60
 ,landscaping tips,1.21,12100,18100,70
 ,garden sink,0.69,3600,4400,82
 ,gardening when to plant,0.70,135000,246000,24
 ,gardening stool,1.01,9900,12100,100
 ,vegetable plants for sale,0.91,1300,1900,89
 ,garden irrigation systems,1.94,9900,18100,100
 ,backyard designs,1.73,40500,60500,76
 ,vegetable seeds,1.21,40500,74000,83
 ,gardening jobs,0.57,9900,33100,34
 ,order plants online,1.66,1600,2400,100
 ,seeds for sale,0.73,60500,110000,79
 ,indoor plants,1.07,135000,201000,52
 ,garden fountain,1.22,33100,49500,100
 ,online nurseries,0.89,12100,22200,61
 ,seeds,0.75,5000000,11100000,27
 ,garden bridge,0.93,18100,40500,71
 ,roof garden,2.03,18100,110000,24
 ,free vegetable seeds,1.16,1300,2400,87
 ,denver botanic gardens,0.22,22200,22200,10
 ,landscape,1.75,4090000,9140000,48
 ,how to design a garden,1.25,135000,450000,67
 ,garden ponds,1.17,12100,27100,91
 ,landscape plants,1.10,27100,60500,62
 ,garden sheds,1.17,60500,301000,100
 ,garden maintenance,2.99,9900,74000,61
 ,garden cart,0.86,27100,40500,100
 ,botanic gardens denver,0.23,22200,22200,10
 ,garden carts,0.88,22200,33100,100
 ,winter gardening,0.94,6600,9900,28
 ,vegetable seed catalogs,1.09,1000,1300,92
 ,planting flowers,0.94,22200,40500,30
 ,kids gardening tools,0.76,1600,3600,100
 ,vegtable garden,0.86,2400,3600,46
 ,landscape designers,3.02,74000,110000,61
 ,planting vegetable garden,0.92,14800,18100,52
 ,backyard ideas,1.44,74000,110000,65
 ,solar garden lights,1.05,22200,49500,100
 ,garden window,2.38,22200,33100,78
 ,backyard design,1.75,40500,60500,78
 ,landscape pictures,1.25,74000,165000,52
 ,landscape designer,2.53,165000,301000,79
 ,nursery,1.19,4090000,9140000,42
 ,gardening 101,1.29,2400,3600,9
 ,growing vegetables in pots,0.88,2400,5400,51
 ,plants online,0.91,49500,246000,68
 ,garden stone,1.15,49500,110000,57
 ,garden water fountains,1.34,4400,8100,100
 ,garden wind spinners,0.62,1300,1900,100
 ,flowers to plant,1.14,74000,135000,33
 ,garden ridge store,0.42,2400,2400,37
 ,garden lights,1.19,60500,165000,100
 ,garden shed plans,0.86,8100,14800,80
 ,garden seat,1.03,60500,110000,65
 ,patio designs,1.79,90500,110000,82
 ,metal garden sculptures,0.83,1300,3600,100
 ,garden shed,1.06,60500,301000,100
 ,gardening plants,0.72,22200,33100,37
 ,vegetable plants,0.86,40500,90500,28
 ,garden windows,2.67,18100,33100,82
 ,garden pond,1.23,27100,60500,82
 ,how to garden,0.86,16600000,45500000,28
 ,free plants,0.65,110000,550000,56
